circles,proximity,prediction
78,0.57,nosano
57,0.41,nosano
60,0.43,nosano
114,0.83,nosano
60,0.43,nosano
78,0.57,nosano
75,0.54,nosano
99,0.72,nosano
48,0.35,nosano
51,0.37,nosano
132,0.96,nosano
93,0.67,nosano
69,0.5,nosano
87,0.63,nosano
66,0.48,nosano
36,0.26,nosano
45,0.33,nosano
87,0.63,nosano
81,0.59,nosano
60,0.43,nosano
45,0.33,nosano
66,0.48,nosano
45,0.33,nosano
54,0.39,nosano
78,0.57,nosano
60,0.43,nosano
54,0.39,nosano
69,0.5,nosano
81,0.59,nosano
45,0.33,nosano
387,2.8,nosano
57,0.41,nosano
66,0.48,nosano
39,0.28,nosano
66,0.48,nosano
99,0.72,nosano
69,0.5,nosano
57,0.41,nosano
60,0.43,nosano
72,0.52,nosano
63,0.46,nosano
51,0.37,nosano
57,0.41,nosano
60,0.43,nosano
63,0.46,nosano
81,0.59,nosano
78,0.57,nosano
57,0.41,nosano
63,0.46,nosano
45,0.33,nosano
99,0.72,nosano
87,0.63,nosano
36,0.26,nosano
186,1.35,nosano
354,2.57,nosano
81,0.59,nosano
297,2.15,nosano
66,0.48,nosano
48,0.35,nosano
72,0.52,nosano
225,1.63,nosano
54,0.39,nosano
54,0.39,nosano
327,2.37,nosano
30,0.22,nosano
51,0.37,nosano
63,0.46,nosano
63,0.46,nosano
51,0.37,nosano
90,0.65,nosano
78,0.57,nosano
60,0.43,nosano
66,0.48,nosano
72,0.52,nosano
54,0.39,nosano
57,0.41,nosano
87,0.63,nosano
69,0.5,nosano
51,0.37,nosano
72,0.52,nosano
48,0.35,nosano
42,0.3,nosano
42,0.3,nosano
63,0.46,nosano
72,0.52,nosano
75,0.54,nosano
150,1.09,nosano
42,0.3,nosano
42,0.3,nosano
318,2.3,nosano
24,0.17,nosano
45,0.33,nosano
63,0.46,nosano
78,0.57,sano
60,0.43,sano
69,0.5,sano
36,0.26,sano
72,0.52,sano
57,0.41,sano
138,1.0,sano
21,0.15,sano
87,0.63,sano
93,0.67,sano
60,0.43,sano
57,0.41,sano
75,0.54,sano
48,0.35,sano
51,0.37,sano
57,0.41,sano
81,0.59,sano
51,0.37,sano
72,0.52,sano
45,0.33,sano
57,0.41,sano
48,0.35,sano
30,0.22,sano
75,0.54,sano
66,0.48,sano
81,0.59,sano
33,0.24,sano
51,0.37,sano
72,0.52,sano
54,0.39,sano
78,0.57,sano
66,0.48,sano
66,0.48,sano
45,0.33,sano
69,0.5,sano
18,0.13,sano
180,1.3,sano
42,0.3,sano
78,0.57,sano
45,0.33,sano
66,0.48,sano
78,0.57,sano
72,0.52,sano
102,0.74,sano
63,0.46,sano
48,0.35,sano
105,0.76,sano
66,0.48,sano
45,0.33,sano
66,0.48,sano
63,0.46,sano
72,0.52,sano
39,0.28,sano
36,0.26,sano
57,0.41,sano
54,0.39,sano
42,0.3,sano
48,0.35,sano
66,0.48,sano
42,0.3,sano
15,0.11,sano
57,0.41,sano
15,0.11,sano
63,0.46,sano
60,0.43,sano
45,0.33,sano
51,0.37,sano
81,0.59,sano
